NGC_BMU_ID,SETT_BMU_ID,FUEL TYPE,EFF_FROM,EFF_TO,Comments,Further Fuel Type,EELPS?,Updated 21/12/2023
MARK-1,E_MARK-1,BIOMASS,2017-08-31 00:00:00,,,,,
MDHLW-1,2__PSTAT002,WIND,2013-11-05 00:00:00,,,,,
MEDP-1,T_MEDP-1,CCGT,2017-08-31 00:00:00,,,,,
MIDMW-1,T_MIDMW-1,WIND,2018-04-18 00:00:00,,,,,
MILWW-1,T_MILWW-1,WIND,2011-12-01 00:00:00,,,,,
MINSW-1,E_MINSW-1,WIND,2011-12-01 00:00:00,,,,,
MKHLW-1,T_MKHLW-1,WIND,2011-05-31 00:00:00,,,,,
MOWEO-1,T_MOWEO-1,WIND,2020-12-11 00:00:00,,,,,
MOWEO-2,T_MOWEO-2,WIND,2020-12-11 00:00:00,,,,,
MOWEO-3,T_MOWEO-3,WIND,2020-12-11 00:00:00,,,,,
MOYEW-1,E_MOYEW-1,WIND,2015-10-01 00:00:00,,,,,
MRWD-1,T_MRWD-1,CCGT,2015-12-01 00:00:00,,,,,
MYGPW-1,T_MYGPW-1,WIND,2016-11-14 00:00:00,,,,,
NANT-1,T_NANT-1,NPSHYD,2009-05-31 00:00:00,,,HYDRO,,
NNPW01,2__NNATP001,WIND,2022-10-21 00:00:00,,,,,
NOVAW-1,,WIND,2005-03-30 00:00:00,,,,EELPS,
NOVAW-2,,WIND,2011-11-03 00:00:00,,,,EELPS,
NSQYT-1,,OTHER,2017-02-08 00:00:00,,,TIDAL,EELPS,
OMNDO-1,T_OMNDW-1,WIND,2012-07-09 00:00:00,,,,,
PAUHW-1,2_PPGEN002,WIND,2008-10-12 00:00:00,,,,,
PEHE-1,T_PEHE-1,CCGT,2004-04-01 00:00:00,,,,,
PEMB-11,T_PEMB-11,CCGT,2011-03-01 00:00:00,,,,,
PEMB-21,T_PEMB-21,CCGT,2011-03-01 00:00:00,,,,,
PEMB-31,T_PEMB-31,CCGT,2011-03-01 00:00:00,,,,,
PEMB-41,T_PEMB-41,CCGT,2011-03-01 00:00:00,,,,,
PEMB-51,T_PEMB-51,CCGT,2011-03-01 00:00:00,,,,,
PETEM1,E_PETEM1,CCGT,2001-03-27 00:00:00,,,,,
PGBIW-1,T_PGBIW-1,WIND,2016-12-22 00:00:00,,,,,
PINFB-1,T_PINFB 1,OTHER,2021-12-16 00:00:00,,,BATTERY,,
PINFB-2,T_PINFB 2,OTHER,2021-12-16 00:00:00,,,BATTERY,,
PINFB-3,T_PINFB 3,OTHER,2021-12-16 00:00:00,,,BATTERY,,
PINFB-4,T_PINFB 4,OTHER,2021-12-16 00:00:00,,,BATTERY,,
PNYCW-1,T_PNYCW-1,WIND,2016-03-22 00:00:00,,,,,
PTLDW-1,,WIND,2013-04-24 00:00:00,,,,EELPS,
RANN-1,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
RANN-2,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
RANN-3,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
RATS-1,T_RATS-1,COAL,2016-08-31 00:00:00,,,,,
RATS-2,T_RATS-2,COAL,2016-08-31 00:00:00,,,,,
RATS-3,T_RATS-3,COAL,2016-08-31 00:00:00,,,,,
RATS-4,T_RATS-4,COAL,2016-08-31 00:00:00,,,,,
RATSGT-2,T_RATSGT-2,OCGT,2016-08-31 00:00:00,,,,,
RATSGT-4,T_RATSGT-4,OCGT,2016-08-31 00:00:00,,,,,
RCBKO-1,T_RCBKO-1,WIND,2016-05-03 00:00:00,,,,,
RCBKO-2,T_RCBKO-2,WIND,2016-05-03 00:00:00,,,,,
REDGT-1,E_REDGT-1,OCGT,2001-03-27 00:00:00,,,,DECOMMISSIONED 2005,
RICHB-1,,OTHER,2023-05-15 00:00:00,,,BATTERY,,
RICHB-2,,OTHER,2023-05-15 00:00:00,,,BATTERY,,
RMPNO-1,T_RMPNO-1,WIND,2017-03-06 00:00:00,,,,,
RMPNO-2,T_RMPNO-2,WIND,2017-03-06 00:00:00,,,,,
ROCK-1,T_ROCK-1,CCGT,2001-03-27 00:00:00,,,,,
ROTHW-1,2__PENEC001,WIND,2020-04-30 00:00:00,,,,,
RREW-1,T_RREW-1,WIND,2017-07-30 00:00:00,,,,,
RRWW-1,T_RRWW-1,WIND,2017-07-30 00:00:00,,,,,
RSHLW-1,E_RSHLW-1,WIND,2017-07-30 00:00:00,,,,EELPS,
RYHPS-1,T_RYHPS-1,CCGT,2019-01-01 00:00:00,,,,,
SAKNW-1,T_SAKNW-1,WIND,2022-03-14 00:00:00,,,,,
SANQW-1,T_SANQW-1,WIND,2017-08-13 00:00:00,,,,,
SCCL-1,T_SCCL-1,CCGT,2011-05-31 00:00:00,,,,,
SCCL-2,T_SCCL-2,CCGT,2011-05-31 00:00:00,,,,,
SCCL-3,T_SCCL-3,CCGT,2011-05-31 00:00:00,,,,,
SEAB-1,T_SEAB-1,CCGT,2001-03-27 00:00:00,,,,,
SEAB-2,T_SEAB-2,CCGT,2001-03-27 00:00:00,,,,,
SEEL-1,T_SEEL-1,OCGT,2019-04-29 00:00:00,,,,,
SFIL-1,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
SHBA-1,T_SHBA-1,CCGT,2001-03-27 00:00:00,,,,,
SHBA-2,T_SHBA-2,CCGT,2001-03-27 00:00:00,,,,,
SHIN-1,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
SHIN-2,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
SHOS-1,E_SHOS-1,CCGT,2019-01-01 00:00:00,,,,,
SHRSO-1,T_SHRSW-1,WIND,2013-04-30 00:00:00,,,,,
SHRSO-2,T_SHRSW-2,WIND,2013-04-30 00:00:00,,,,,
SIMEC-1,T_SIMEC-1,BIOMASS,2018-06-25 00:00:00,,,,,
SIZB-1,T_SIZB-1,NUCLEAR,2001-03-27 00:00:00,,,,,
SIZB-2,T_SIZB-2,NUCLEAR,2001-03-27 00:00:00,,,,,
SLOY-1,M_SLOY-1,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
SLOY-2,T_SLOY-2,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
SLOY-3,T_SLOY-3,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
SLOY-4,M_SLOY-4,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
SOKYW-1,T_SOKYW-1,WIND,2022-02-18 00:00:00,,,,,
